Mass,C,H,O,N,C13,S,P,Error,NeutralMass,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect
200.8340144,0,0,0,0,0,0,0,0,201.8412909,NA,NA,NA,NA,NA,NA,200.60976134535323,0.3902386546467653
200.9426749,0,0,0,0,0,0,0,0,201.9499514,NA,NA,NA,NA,NA,NA,200.71830051406818,0.28169948593182426
200.9433045,5,2,3,2,0,2,0,0.499867418,201.950581,C5H2N2O3S2,0.6,0.4,0.4,0,NA,200.71892941105122,0.28107058894877923
200.9863723,7,6,5,0,0,1,0,-0.274750058,201.9936488,C7H6O5S,0.7142857142857143,0.8571428571428571,0,0,NA,200.76194912116097,0.23805087883903298
201.1132224,10,18,4,0,0,0,0,0.050670755,202.1204988,C10H18O4,0.4,1.8,0,0,NA,200.8886575792061,0.11134242079390333
201.1496158,11,22,3,0,0,0,0,0.011523738,202.1568922,C11H22O3,0.2727272727272727,2,0,0,NA,200.92501034201052,0.07498965798947665
202.0523773,0,0,0,0,0,0,0,0,203.0596538,NA,NA,NA,NA,NA,NA,201.8267638104547,0.17323618954529252
202.9413892,5,4,1,2,0,3,0,-0.455574162,203.9486657,C5H4N2OS3,0.2,0.8,0.4,0,NA,202.71478303182514,0.28521696817486486
203.0925331,9,16,5,0,0,0,0,-0.175980802,204.0998095,C9H16O5,0.5555555555555556,1.7777777777777777,0,0,NA,202.86575816319612,0.1342418368038807
203.1288351,10,20,4,0,0,0,0,0.23327607,204.1361115,C10H20O4,0.4,2,0,0,NA,202.90201962805864,0.097980371941361
203.5845414,0,0,0,0,0,0,0,0,204.5918179,NA,NA,NA,NA,NA,NA,203.35721708233297,0.6427829176670343
203.9196744,0,0,0,0,0,0,0,0,204.9269508,NA,NA,NA,NA,NA,NA,203.6919758698312,0.30802413016880337
205.0142391,10,6,5,0,0,0,0,0.037550056,206.0215156,C10H6O5,0.5,0.6,0,0,NA,204.7853183691088,0.2146816308911923
205.1081636,9,18,5,0,0,0,0,-0.079493282,206.1154401,C9H18O5,0.5555555555555556,2,0,0,NA,204.87913799217304,0.12086200782695755
207.0299141,10,8,5,0,0,0,0,-0.082470656,208.0371905,C10H8O5,0.5,0.8,0,0,NA,206.79874264839663,0.201257351603374
207.0510933,7,12,7,0,0,0,0,-0.322209009,208.0583698,C7H12O7,1,1.7142857142857142,0,0,NA,206.81989819951266,0.1801018004873356
207.0874199,8,16,6,0,0,0,0,-0.038915658,208.0946963,C8H16O6,0.75,2,0,0,NA,206.85618423690659,0.14381576309341426
208.9345295,0,0,0,0,0,0,0,0,209.941806,NA,NA,NA,NA,NA,NA,208.7012313378259,0.2987686621740977
208.9346799,0,0,0,0,0,0,0,0,209.9419563,NA,NA,NA,NA,NA,NA,208.70138156988793,0.29861843011207156
208.9734428,0,0,0,0,0,0,0,0,209.9807193,NA,NA,NA,NA,NA,NA,208.7401011868875,0.25989881311249974
208.9735865,9,6,2,0,0,2,0,0.269210454,209.9808629,C9H6O2S2,0.2222222222222222,0.6666666666666666,0,0,NA,208.7402447264308,0.2597552735691977
209.0091827,9,6,6,0,0,0,0,-0.101018228,210.0164591,C9H6O6,0.6666666666666666,0.6666666666666666,0,0,NA,208.77580117939587,0.22419882060412988
209.0455619,10,10,5,0,0,0,0,-0.07107826,210.0528384,C10H10O5,0.5,1,0,0,NA,208.81213975805616,0.187860241943838
209.9484011,0,0,0,0,0,0,0,0,210.9556776,NA,NA,NA,NA,NA,NA,209.71397083973986,0.28602916026014213
209.949038,0,0,0,0,0,0,0,0,210.9563144,NA,NA,NA,NA,NA,NA,209.71460702857163,0.28539297142836517
210.0408901,9,9,5,1,0,0,0,-0.445957228,211.0481665,C9H9NO5,0.5555555555555556,1,0.1111111111111111,0,NA,209.8063565656962,0.1936434343037945
210.9624836,0,0,0,0,0,0,0,0,211.9697601,NA,NA,NA,NA,NA,NA,210.72692100616098,0.2730789938390217
210.9736034,0,0,0,0,0,0,0,0,211.9808799,NA,NA,NA,NA,NA,NA,210.73802838969294,0.2619716103070573
210.9894154,0,0,0,0,0,0,0,0,211.9966919,NA,NA,NA,NA,NA,NA,210.75382273387248,0.24617726612751767
211.0248424,9,8,6,0,0,0,0,-0.145545296,212.0321188,C9H8O6,0.6666666666666666,0.8888888888888888,0,0,NA,210.7892101757678,0.21078982423219372
211.0612141,10,12,5,0,0,0,0,-0.080268035,212.0684905,C10H12O5,0.5,1.2,0,0,NA,210.82554126280263,0.17445873719736937
211.0976107,11,16,4,0,0,0,0,-0.132811247,212.1048872,C11H16O4,0.36363636363636365,1.4545454545454546,0,0,NA,210.86189722203392,0.1381027779660826
211.1339922,12,20,3,0,0,0,0,-0.114020402,212.1412687,C12H20O3,0.25,1.6666666666666667,0,0,NA,210.898238098126,0.10176190187399925
211.8010255,0,0,0,0,0,0,0,0,212.808302,NA,NA,NA,NA,NA,NA,211.56452658278425,0.4354734172157464
211.9736038,5,10,3,0,0,2,1,0.074937302,212.9808802,C5H10O3S2P,0.6,2,0,0.2,0,211.73691218031271,0.2630878196872857
212.0200788,8,7,6,1,0,0,0,-0.085797342,213.0273552,C8H7NO6,0.75,0.875,0.125,0,NA,211.78333528591253,0.21666471408747157
212.9700048,0,0,0,0,0,0,0,0,213.9772812,NA,NA,NA,NA,NA,NA,212.73220059005467,0.2677994099453258
